t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
15.979899,zeta0p1,-0.45384502,-0.22926569,0.13524914,0.11776426
16.180904,zeta0p1,-0.06466887,-0.24740857,0.107575566,0.114198424
16.38191,zeta0p1,-0.43188676,-0.27071372,0.11107469,0.11713875
16.582914,zeta0p1,-0.14790213,-0.28466326,0.1271752,0.11274198
16.78392,zeta0p1,-0.3937476,-0.2999446,0.08346854,0.11065366
16.984924,zeta0p1,-0.22201785,-0.30894536,0.14098293,0.10562705
17.18593,zeta0p1,-0.3415708,-0.31544948,0.053656112,0.098794125
17.386934,zeta0p1,-0.28445062,-0.3189651,0.14868231,0.09338803
17.58794,zeta0p1,-0.2779685,-0.31633914,0.022900276,0.08232459
17.788944,zeta0p1,-0.33319643,-0.31410986,0.15020996,0.076828375
17.98995,zeta0p1,-0.20590138,-0.30247504,-0.007546893,0.062245782
18.190954,zeta0p1,-0.3668707,-0.29456687,0.14574893,0.056970567
18.39196,zeta0p1,-0.12854737,-0.27456227,-0.036496814,0.039726317
18.592964,zeta0p1,-0.38473818,-0.2613944,0.1357112,0.034981143
18.79397,zeta0p1,-0.049168073,-0.234168,-0.06286548,0.016015854
18.994974,zeta0p1,-0.38671657,-0.21650475,0.120712474,0.012080485
19.19598,zeta0p1,0.029024435,-0.18363789,-0.08571418,-0.007648388
19.396984,zeta0p1,-0.37335393,-0.16253693,0.1015406,-0.010549692
19.59799,zeta0p1,0.10298998,-0.12590787,-0.10427926,-0.030127965
19.798994,zeta0p1,-0.34578207,-0.10262722,0.07911647,-0.031846963
20.0,zeta0p1,0.16997623,-0.064237244,-0.11799713,-0.0504508
0.10050251,zeta0p3,0.9950538,0.0,-0.04982981,0.0
0.30150753,zeta0p3,-0.09736817,0.014861085,0.012748028,0.0075541716
0.5025126,zeta0p3,0.9574875,0.061407313,-0.046467964,-0.019152384
0.7035176,zeta0p3,-0.27165067,0.062935516,0.020434974,-0.00716924
0.9045226,zeta0p3,0.8878681,0.10073806,-0.041725364,-0.032380927
1.1055276,zeta0p3,-0.41582748,0.07737,0.026473405,-0.0057085752
1.3065326,zeta0p3,0.7924784,0.09375921,-0.035938784,-0.022439899
1.5075377,zeta0p3,-0.5278498,0.05711563,0.030821549,0.0056239404
1.7085427,zeta0p3,0.6778646,0.06159127,-0.029446362,-0.01024819
1.9095477,zeta0p3,-0.60712147,0.016387947,0.033506494,0.016808024
2.1105528,zeta0p3,0.55055857,0.011727887,-0.022574529,0.0013658423
2.3115578,zeta0p3,-0.6543564,-0.037514426,0.034615364,0.025825918
2.5125628,zeta0p3,0.4168315,-0.048364848,-0.015627136,0.010844247
2.7135677,zeta0p3,-0.6714026,-0.09760316,0.03428516,0.031742252
2.914573,zeta0p3,0.28248563,-0.11176931,-0.008876246,0.017532421
3.115578,zeta0p3,-0.66104317,-0.15757036,0.03269191,0.034382273
3.316583,zeta0p3,0.15268788,-0.17245321,-0.0025556441,0.021396644
3.517588,zeta0p3,-0.6267849,-0.21203546,0.030039538,0.034077004
3.718593,zeta0p3,0.03184493,-0.22546071,0.003143768,0.02279902
3.919598,zeta0p3,-0.5726426,-0.25670663,0.026549017,0.031454712
4.120603,zeta0p3,-0.0764766,-0.267016,0.008076409,0.022314845
4.321608,zeta0p3,-0.50292915,-0.28849012,0.022447957,0.027270725
4.522613,zeta0p3,-0.16959028,-0.2945847,0.012142267,0.020587198
4.723618,zeta0p3,-0.42205805,-0.30556273,0.017961293,0.022275422
4.924623,zeta0p3,-0.24569157,-0.30690628,0.015285581,0.01821942
5.125628,zeta0p3,-0.33436495,-0.30739206,0.01330304,0.01712196
5.326633,zeta0p3,-0.30382672,-0.3039765,0.017491922,0.015705736
5.527638,zeta0p3,-0.24395123,-0.2946739,0.008669409,0.012313081
5.7286434,zeta0p3,-0.34383166,-0.28694603,0.018784063,0.013397416
5.9296484,zeta0p3,-0.15455574,-0.26916197,0.0042333505,0.00818219
6.1306534,zeta0p3,-0.36624864,-0.25791553,0.019216847,0.011498308
6.3316584,zeta0p3,-0.069454074,-0.23339614,0.00014070568,0.0049009533
6.5326633,zeta0p3,-0.37222552,-0.21964118,0.018871492,0.010081546
6.7336683,zeta0p3,0.008613488,-0.19036897,-0.0034923144,0.002504541
6.9346733,zeta0p3,-0.36340344,-0.17519778,0.017849501,0.00911879
7.1356783,zeta0p3,0.077484734,-0.14319028,-0.006580077,0.00092606805
7.3366833,zeta0p3,-0.3417984,-0.12765932,0.016266523,0.008514432
7.5376883,zeta0p3,0.13559197,-0.09480363,-0.009067416,3.3122487e-05
7.738693,zeta0p3,-0.30968228,-0.07984477,0.01424635,0.008138732
7.9396987,zeta0p3,0.18195386,-0.047785215,-0.010928194,-0.00033881702
8.140703,zeta0p3,-0.26946762,-0.03415162,0.01191528,0.007855795
8.341708,zeta0p3,0.21614622,-0.0042313654,-0.012163015,-0.0003592195
8.542713,zeta0p3,-0.22359997,0.0075249607,0.009397055,0.007544427
8.743718,zeta0p3,0.23825458,0.034280173,-0.012796154,-0.00018316228
8.944724,zeta0p3,-0.17446153,0.043805845,0.006808467,0.007110904
9.145729,zeta0p3,0.24881323,0.066674896,-0.012871952,6.051548e-05
9.346734,zeta0p3,-0.12428799,0.07379659,0.0042557186,0.006494912
9.547739,zeta0p3,0.24873382,0.09233536,-0.012450858,0.00027447194
9.748744,zeta0p3,-0.07510005,0.09703305,0.0018315563,0.005669993
9.949749,zeta0p3,0.23922801,0.11104068,-0.011605295,0.00039341813
